Ticket ID,Customer Name,Customer Email,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,Customer ID,Industry,Region,Company Size,Plan Type,Account Created Date,Usage Months,Total Active Days,Total Sessions,Total Product Actions,Average Collaborators,Average Integrations Used,First Month Sessions,Last Month Sessions,Session Trend per Month,Active Day Trend per Month,Sessions per Active Day,Actions per Session,Session Change Percent,First Response Time Parsed,Time to Resolution Parsed,Account Age Years,Resolution Hours Raw,Resolution Time Valid,Resolution Hours Clean,At Risk
11,Joseph Moreno,mbrown@example.org,48,Male,Bitbucket,19-01-2021,Cancellation request,Data loss,Closed,Measure tonight surface feel forward.,High,Phone,01-06-2023 17:46,31-05-2023 23:51,1.0,CUST04879,Government & Public Sector,North America,51-200,Premium,2020-06-18,5,30,67,326,9.8,3.8,16,12,-1.200000000000001,-0.2000000000000006,2.2333333333333334,4.865671641791045,-0.25,2023-06-01 17:46:00,2023-05-31 23:51:00,2.951403148528405,-17.916666666666668,False,,1
12,Brandon Arnold,davisjohn@example.net,51,Male,Jira,24-10-2021,Product inquiry,Software bug,Closed,Measure there house management pick knowledge trade.,High,Chat,01-06-2023 12:05,01-06-2023 09:27,1.0,CUST01725,Technology,Europe,201-500,Free,2021-02-27,5,46,92,494,8.2,1.2,17,15,-0.5000000000000004,-0.20000000000000107,2.0,5.369565217391305,-0.11764705882352941,2023-06-01 12:05:00,2023-06-01 09:27:00,2.2559890485968515,-2.6333333333333333,False,,0
13,Tamara Hahn,jensenwilliam@example.net,27,Other,Confluence,26-05-2021,Technical issue,Device compatibility issue,Pending Customer Response,,Low,Chat,01-06-2023 19:03,,,CUST03418,Technology,Australia & New Zealand,501-1000,Enterprise,2021-02-20,5,95,187,1189,15.6,5.2,33,39,0.7999999999999947,1.1999999999999993,1.9684210526315788,6.358288770053476,0.18181818181818182,2023-06-01 19:03:00,,2.2751540041067764,,False,,0
14,Sandra Barnes,gwendolyn51@example.net,65,Other,Trello,13-07-2020,Technical issue,Product setup,Pending Customer Response,,Low,Chat,01-06-2023 20:34,,,CUST02677,Professional Services,North America,201-500,Premium,2019-09-26,5,69,148,928,13.0,5.4,27,37,2.3999999999999977,0.7999999999999995,2.1449275362318843,6.27027027027027,0.37037037037037035,2023-06-01 20:34:00,,3.679671457905544,,False,,0
15,Amy Hill,medinasteven@example.net,48,Female,Loom,29-02-2020,Billing inquiry,Product setup,Closed,Officer moment world sing parent available.,High,Chat,01-06-2023 06:22,31-05-2023 23:08,4.0,CUST04930,Manufacturing,Australia & New Zealand,1-10,Premium,2018-12-05,5,40,74,452,13.4,4.4,15,17,0.7999999999999988,0.7999999999999998,1.85,6.108108108108108,0.13333333333333333,2023-06-01 06:22:00,2023-05-31 23:08:00,4.487337440109514,-7.233333333333333,False,,0
16,Elizabeth Foley,amy41@example.net,18,Other,Bitbucket,24-06-2021,Billing inquiry,Product recommendation,Pending Customer Response,,High,Social media,01-06-2023 15:09,,,CUST00260,Retail,North America,1-10,Premium,2020-07-13,5,47,91,571,10.4,4.4,18,16,-1.6131934196506755e-15,0.09999999999999937,1.9361702127659575,6.274725274725275,-0.1111111111111111,2023-06-01 15:09:00,,2.8829568788501025,,False,,0
17,Julia Salazar,watkinsbarbara@example.com,63,Other,Jira,13-10-2021,Product inquiry,Account access,Closed,Seek evidence book collection catch.,Critical,Chat,01-06-2023 19:46,01-06-2023 15:58,4.0,CUST07798,Financial Services,Europe,1000+,Premium,2020-04-19,5,55,106,685,10.0,3.6,23,21,-0.3000000000000029,-0.4000000000000012,1.9272727272727272,6.462264150943396,-0.08695652173913043,2023-06-01 19:46:00,2023-06-01 15:58:00,3.1156741957563314,-3.8,False,,0
18,Joshua Castillo,mooredeborah@example.org,56,Female,Jira,07-09-2020,Product inquiry,Payment issue,Pending Customer Response,,High,Chat,01-06-2023 21:05,,,CUST05269,Technology,Asia-Pacific,201-500,Free,2020-07-29,5,48,93,564,14.4,0.4,20,26,1.099999999999999,0.6999999999999993,1.9375,6.064516129032258,0.3,2023-06-01 21:05:00,,2.839151266255989,,False,,0
19,Wendy Davis,brenda20@example.net,19,Male,Confluence,23-09-2021,Product inquiry,Integration,Open,,High,Social media,,,,CUST00788,Other,Other,201-500,Standard,2021-05-21,5,30,58,251,11.2,1.8,10,18,1.3000000000000003,1.0999999999999999,1.9333333333333333,4.327586206896552,0.8,,,,,False,,0
20,Jeffrey Robertson,jameslopez@example.com,39,Female,Trello,08-03-2021,Refund request,Software bug,Closed,Wish mouth build resource though.,Low,Chat,01-06-2023 00:46,01-06-2023 20:29,5.0,CUST03199,Retail,Europe,11-50,Standard,2020-06-05,5,37,80,460,10.0,1.4,20,15,-1.800000000000003,-0.9,2.1621621621621623,5.75,-0.25,2023-06-01 00:46:00,2023-06-01 20:29:00,2.9869952087611225,19.716666666666665,True,19.716666666666665,1
21,Suzanne Holmes,rogermcgrath@example.net,28,Other,Loom,31-05-2021,Refund request,Payment issue,Pending Customer Response,,High,Chat,01-06-2023 05:08,,,CUST06441,Media & Communications,North America,1-10,Standard,2020-09-19,5,50,113,612,13.6,3.0,22,20,-1.300000000000004,-0.6000000000000012,2.26,5.415929203539823,-0.09090909090909091,2023-06-01 05:08:00,,2.6967830253251197,,False,,1
22,Tanner Conley,zbond@example.net,66,Male,Trello,04-02-2020,Cancellation request,Installation support,Pending Customer Response,,Critical,Social media,31-05-2023 23:57,,,CUST08241,Other,North America,201-500,Free,2019-08-14,5,60,116,647,12.8,1.8,21,25,0.8999999999999982,0.49999999999999856,1.9333333333333333,5.577586206896552,0.19047619047619047,2023-05-31 23:57:00,,3.7946611909650922,,False,,1
23,Stephanie Nelson DVM,ljohnson@example.org,54,Female,Jira,11-02-2020,Cancellation request,Email delivery problem,Open,,Medium,Social media,,,,CUST04539,Technology,Australia & New Zealand,11-50,Standard,2019-06-21,5,28,56,373,13.2,2.2,9,12,0.49999999999999933,0.4999999999999996,2.0,6.660714285714286,0.3333333333333333,,,,,False,,1
24,Antonio Scott,carlsonmatthew@example.org,63,Female,Confluence,06-08-2021,Technical issue,Refund request,Pending Customer Response,,Low,Social media,01-06-2023 09:06,,,CUST01055,Professional Services,Europe,11-50,Premium,2020-05-25,5,72,148,729,13.8,4.4,34,31,-0.3000000000000022,-0.8000000000000016,2.0555555555555554,4.925675675675675,-0.08823529411764706,2023-06-01 09:06:00,,3.0171115674195756,,False,,0
25,John Cuevas,lbarron@example.org,19,Male,Bitbucket,25-05-2021,Product inquiry,Display issue,Open,,Critical,Email,,,,CUST04388,Financial Services,Australia & New Zealand,11-50,Standard,2020-10-01,5,33,66,406,9.8,2.2,16,8,-1.2000000000000015,-0.700000000000001,2.0,6.151515151515151,-0.5,,,,,False,,0
26,Gregory Bautista,johnstonbeth@example.com,35,Other,Loom,05-07-2021,Product inquiry,Refund request,Pending Customer Response,,Medium,Social media,01-06-2023 19:02,,,CUST03668,Other,Australia & New Zealand,1000+,Standard,2020-11-27,5,38,74,377,11.2,2.6,17,17,-0.5000000000000022,0.3999999999999994,1.9473684210526316,5.094594594594595,0.0,2023-06-01 19:02:00,,2.507871321013005,,False,,0
27,Ryan Sharp,pmercado@example.org,22,Other,Jira,02-05-2020,Billing inquiry,Cancellation request,Pending Customer Response,,Low,Social media,01-06-2023 20:02,,,CUST05943,Media & Communications,Australia & New Zealand,1000+,Premium,2019-02-18,5,48,97,546,13.0,3.2,21,20,0.49999999999999944,0.3999999999999985,2.0208333333333335,5.628865979381444,-0.047619047619047616,2023-06-01 20:02:00,,4.2819986310746065,,False,,0
28,Michael Mcdowell,jeffersonmichael@example.net,21,Other,Confluence,12-10-2020,Cancellation request,Product setup,Open,,High,Phone,,,,CUST03317,Government & Public Sector,Europe,201-500,Standard,2019-06-11,5,38,74,401,13.2,2.4,15,18,0.1999999999999997,0.1999999999999989,1.9473684210526316,5.418918918918919,0.2,,,,,False,,1
29,Christine Wang,garciastacy@example.com,30,Other,Confluence,10-06-2020,Technical issue,Product recommendation,Closed,Soldier we such inside.,Critical,Phone,31-05-2023 23:17,01-06-2023 06:03,5.0,CUST02457,Technology,Asia-Pacific,11-50,Premium,2019-02-15,5,29,66,411,9.8,5.2,19,13,-1.2000000000000015,-0.40000000000000047,2.2758620689655173,6.2272727272727275,-0.3157894736842105,2023-05-31 23:17:00,2023-06-01 06:03:00,4.287474332648871,6.766666666666667,True,6.766666666666667,0
30,Austin George,shericase@example.net,67,Male,Jira,26-12-2020,Cancellation request,Cancellation request,Closed,Firm sort voice above which site arrive.,Medium,Phone,01-06-2023 00:54,01-06-2023 18:23,1.0,CUST06802,Financial Services,North America,201-500,Free,2019-09-01,5,26,46,273,11.8,0.4,8,11,0.6999999999999988,0.7999999999999993,1.7692307692307692,5.934782608695652,0.375,2023-06-01 00:54:00,2023-06-01 18:23:00,3.7481177275838466,17.483333333333334,True,17.483333333333334,1
31,Wendy Roberts,jessicahenderson@example.net,22,Other,Trello,28-01-2021,Billing inquiry,Product setup,Open,,Low,Email,,,,CUST03483,Healthcare,Europe,1000+,Standard,2019-12-09,5,52,95,605,13.8,2.2,19,19,-0.40000000000000185,-0.20000000000000173,1.8269230769230769,6.368421052631579,0.0,,,,,False,,0
32,Robert Wilson,zstewart@example.org,60,Male,Bitbucket,20-12-2021,Technical issue,Product compatibility,Closed,Certain myself month past tree benefit.,Medium,Social media,01-06-2023 06:42,01-06-2023 07:16,3.0,CUST08304,Retail,North America,501-1000,Standard,2021-01-18,5,56,115,737,10.6,3.2,20,25,0.4999999999999982,-0.7000000000000003,2.0535714285714284,6.408695652173913,0.25,2023-06-01 06:42:00,2023-06-01 07:16:00,2.3655030800821355,0.5666666666666667,True,0.5666666666666667,0
33,Christina Gray,greenkeith@example.net,36,Female,Confluence,07-12-2021,Billing inquiry,Product recommendation,Pending Customer Response,,Medium,Chat,01-06-2023 19:36,,,CUST02638,Technology,Europe,201-500,Premium,2020-10-10,5,49,87,477,11.0,4.8,16,22,1.6,1.099999999999999,1.7755102040816326,5.482758620689655,0.375,2023-06-01 19:36:00,,2.639288158795346,,False,,0
34,Timothy Lyons,darlenelee@example.org,50,Male,Bitbucket,09-12-2021,Refund request,Device compatibility issue,Closed,However financial development significant camera job every.,Critical,Social media,01-06-2023 02:01,01-06-2023 18:25,5.0,CUST01640,Manufacturing,North America,51-200,Standard,2020-12-09,5,59,116,548,8.4,2.0,23,21,-0.40000000000000263,-2.4548018428381614e-15,1.9661016949152543,4.724137931034483,-0.08695652173913043,2023-06-01 02:01:00,2023-06-01 18:25:00,2.4750171115674195,16.4,True,16.4,1
35,Stacy Jones,fernandezmark@example.org,27,Male,Jira,09-04-2021,Refund request,Installation support,Pending Customer Response,,Low,Chat,01-06-2023 20:50,,,CUST02297,Manufacturing,Australia & New Zealand,1-10,Standard,2021-03-24,5,72,146,802,11.4,2.6,33,24,-1.1000000000000008,-1.400000000000001,2.0277777777777777,5.493150684931507,-0.2727272727272727,2023-06-01 20:50:00,,2.187542778918549,,False,,1
36,Joann King,jessica10@example.org,24,Other,Jira,13-10-2020,Cancellation request,Product recommendation,Closed,Reach paper ability effort learn.,High,Chat,01-06-2023 07:56,01-06-2023 00:14,1.0,CUST03455,Other,Europe,201-500,Standard,2020-04-03,5,42,95,570,12.8,2.2,21,19,-0.6000000000000012,-0.30000000000000104,2.261904761904762,6.0,-0.09523809523809523,2023-06-01 07:56:00,2023-06-01 00:14:00,3.159479808350445,-7.7,False,,1
37,Ruben Henry,katherinehoward@example.net,65,Female,Trello,14-03-2020,Refund request,Device compatibility issue,Pending Customer Response,,Medium,Email,01-06-2023 15:51,,,CUST03945,Media & Communications,Australia & New Zealand,51-200,Standard,2019-07-23,5,122,246,1616,11.0,2.0,48,55,2.3999999999999995,1.5999999999999985,2.0163934426229506,6.569105691056911,0.14583333333333334,2023-06-01 15:51:00,,3.8576317590691307,,False,,1
38,Morgan Wagner,elizabethlamb@example.com,39,Female,Bitbucket,02-09-2020,Product inquiry,Product compatibility,Open,,Medium,Chat,,,,CUST02093,Media & Communications,Europe,1000+,Free,2019-06-14,5,23,48,338,10.6,0.4,12,11,-0.4000000000000012,-0.10000000000000034,2.0869565217391304,7.041666666666667,-0.08333333333333333,,,,,False,,0
39,Kevin Ingram,victor62@example.net,19,Male,Loom,10-09-2021,Technical issue,Account access,Closed,North second between this cell opportunity movement.,Critical,Phone,01-06-2023 18:45,31-05-2023 21:53,3.0,CUST07659,Professional Services,North America,1-10,Standard,2021-04-13,5,8,14,74,4.8,2.2,5,2,-0.6000000000000003,-0.4000000000000003,1.75,5.285714285714286,-0.6,2023-06-01 18:45:00,2023-05-31 21:53:00,2.132785763175907,-20.866666666666667,False,,0
40,Michael Oneal,stevenburns@example.net,33,Other,Bitbucket,22-10-2021,Product inquiry,Account access,Pending Customer Response,,Medium,Social media,31-05-2023 22:19,,,CUST07036,Media & Communications,Australia & New Zealand,51-200,Premium,2021-07-10,5,50,103,649,16.0,4.2,21,21,-0.8000000000000007,0.2999999999999987,2.06,6.300970873786408,0.0,2023-05-31 22:19:00,,1.88911704312115,,False,,0
41,Casey Tran,shawn54@example.net,19,Female,Jira,07-02-2021,Product inquiry,Installation support,Pending Customer Response,,Low,Phone,01-06-2023 09:11,,,CUST06773,Healthcare,Asia-Pacific,51-200,Standard,2020-05-10,5,79,158,893,14.2,3.6,37,34,-0.500000000000002,-0.8000000000000025,2.0,5.651898734177215,-0.08108108108108109,2023-06-01 09:11:00,,3.058179329226557,,False,,0
42,Katie Mitchell,sheila78@example.org,35,Male,Trello,09-06-2021,Billing inquiry,Product compatibility,Closed,Start book field officer seem make.,Critical,Chat,01-06-2023 20:25,01-06-2023 14:43,3.0,CUST06781,Financial Services,Australia & New Zealand,1-10,Standard,2020-07-03,5,32,61,466,11.4,2.2,11,11,-0.10000000000000109,-0.10000000000000105,1.90625,7.639344262295082,0.0,2023-06-01 20:25:00,2023-06-01 14:43:00,2.9103353867214237,-5.7,False,,0
43,Justin Giles,woodmargaret@example.org,22,Male,Confluence,10-10-2020,Product inquiry,Product compatibility,Pending Customer Response,,Medium,Phone,01-06-2023 18:41,,,CUST07994,Retail,Other,11-50,Standard,2020-02-29,5,25,55,257,10.0,2.8,4,12,1.0999999999999999,0.4000000000000003,2.2,4.672727272727273,2.0,2023-06-01 18:41:00,,3.252566735112936,,False,,0
44,Michael Allison,abowen@example.org,54,Female,Trello,16-01-2020,Technical issue,Device compatibility issue,Open,,Low,Email,,,,CUST00024,Technology,Asia-Pacific,51-200,Free,2019-11-06,5,17,31,202,5.6,0.4,8,9,-0.6000000000000006,-0.20000000000000023,1.8235294117647058,6.516129032258065,0.125,,,,,False,,0
45,Donald Gibbs,laura33@example.org,34,Other,Loom,25-09-2021,Refund request,Product compatibility,Closed,Over read region lawyer much speech control.,Critical,Email,01-06-2023 05:58,01-06-2023 03:19,2.0,CUST04338,Technology,North America,201-500,Premium,2020-06-26,5,12,26,135,9.0,3.2,3,7,1.0999999999999999,0.4999999999999998,2.1666666666666665,5.1923076923076925,1.3333333333333333,2023-06-01 05:58:00,2023-06-01 03:19:00,2.9295003422313486,-2.65,False,,1
46,Timothy Sutton,david40@example.org,65,Female,Confluence,01-02-2021,Product inquiry,Cancellation request,Open,,Low,Chat,,,,CUST01661,Education,North America,51-200,Premium,2019-12-04,5,55,124,648,13.6,3.4,27,24,-0.8000000000000043,-0.5000000000000001,2.2545454545454544,5.225806451612903,-0.1111111111111111,,,,,False,,0
47,Cassandra Richards,abigail06@example.com,50,Female,Confluence,15-10-2020,Refund request,Network problem,Closed,Audience food pretty cut.,High,Phone,01-06-2023 03:43,01-06-2023 09:24,1.0,CUST00022,Professional Services,North America,51-200,Standard,2020-07-12,5,21,42,274,10.2,2.0,8,6,1.9415745056409047e-16,-0.20000000000000054,2.0,6.523809523809524,-0.25,2023-06-01 03:43:00,2023-06-01 09:24:00,2.8856947296372346,5.683333333333334,True,5.683333333333334,1
48,Kristen Perry,bevans@example.org,27,Female,Jira,29-07-2020,Technical issue,Software bug,Closed,Late center interview that.,Medium,Social media,01-06-2023 07:16,01-06-2023 05:59,1.0,CUST00647,Government & Public Sector,Europe,11-50,Standard,2020-04-25,5,47,103,633,13.8,2.6,19,22,0.4999999999999987,0.4999999999999993,2.1914893617021276,6.145631067961165,0.15789473684210525,2023-06-01 07:16:00,2023-06-01 05:59:00,3.0992470910335386,-1.2833333333333334,False,,0
49,Noah Mcknight,juliepowers@example.org,32,Other,Loom,15-02-2021,Cancellation request,Network problem,Open,,High,Chat,,,,CUST03865,Manufacturing,North America,201-500,Standard,2019-11-18,5,18,37,203,7.6,3.8,5,7,0.7999999999999995,0.6000000000000001,2.0555555555555554,5.486486486486487,0.4,,,,,False,,1
50,Katie Johnson,thomas46@example.net,44,Male,Loom,27-09-2020,Technical issue,Display issue,Open,,Medium,Chat,,,,CUST07260,Retail,Asia-Pacific,501-1000,Standard,2019-07-11,5,49,91,523,11.0,2.8,15,19,1.2999999999999994,0.2999999999999987,1.8571428571428572,5.747252747252747,0.26666666666666666,,,,,False,,0
51,Kayla Dunn,ramirezphilip@example.net,66,Male,Bitbucket,22-12-2020,Refund request,Software bug,Open,,Medium,Chat,,,,CUST06102,Education,North America,1-10,Premium,2020-05-29,5,90,196,1146,15.0,4.8,34,39,0.8999999999999958,0.39999999999999736,2.1777777777777776,5.846938775510204,0.14705882352941177,,,,,False,,1
52,Tracy White,wvargas@example.com,64,Male,Confluence,20-11-2020,Refund request,Software bug,Closed,Might Mrs often stuff.,Medium,Chat,01-06-2023 16:21,01-06-2023 10:31,3.0,CUST08027,Manufacturing,North America,1-10,Enterprise,2020-10-04,5,54,127,776,14.2,6.2,25,25,-1.6208549103763837e-15,0.09999999999999853,2.3518518518518516,6.110236220472441,0.0,2023-06-01 16:21:00,2023-06-01 10:31:00,2.6557152635181382,-5.833333333333333,False,,1
53,Christian Graves,hgriffin@example.org,54,Male,Trello,10-10-2021,Refund request,Network problem,Closed,More left involve agree station billion would.,High,Social media,01-06-2023 01:54,01-06-2023 20:59,3.0,CUST02850,Financial Services,Asia-Pacific,201-500,Free,2020-12-25,5,40,79,461,10.0,0.6,17,19,-0.6999999999999998,-0.5000000000000001,1.975,5.8354430379746836,0.11764705882352941,2023-06-01 01:54:00,2023-06-01 20:59:00,2.431211498973306,19.083333333333332,True,19.083333333333332,1
54,Casey Reed,sabrina61@example.org,37,Male,Loom,16-08-2021,Cancellation request,Email delivery problem,Closed,Even two pay expect.,Low,Chat,01-06-2023 00:39,01-06-2023 10:25,4.0,CUST06551,Professional Services,North America,51-200,Standard,2020-10-29,5,39,80,516,10.8,2.4,20,17,-0.7000000000000012,0.19999999999999937,2.051282051282051,6.45,-0.15,2023-06-01 00:39:00,2023-06-01 10:25:00,2.5872689938398357,9.766666666666667,True,9.766666666666667,1
55,Carrie Ayers,natasha18@example.com,68,Female,Jira,14-10-2021,Technical issue,Network problem,Pending Customer Response,,Low,Chat,01-06-2023 07:25,,,CUST05390,Technology,North America,1000+,Standard,2021-09-16,5,38,79,520,10.4,2.0,15,17,1.0999999999999974,0.19999999999999937,2.0789473684210527,6.582278481012659,0.13333333333333333,2023-06-01 07:25:00,,1.7056810403832992,,False,,0
56,Sarah Cole,williamscynthia@example.org,50,Female,Confluence,19-11-2021,Cancellation request,Software bug,Pending Customer Response,,Critical,Chat,01-06-2023 11:14,,,CUST07921,Professional Services,Europe,51-200,Standard,2020-10-18,5,32,64,333,11.4,2.6,14,18,0.7999999999999988,-0.10000000000000056,2.0,5.203125,0.2857142857142857,2023-06-01 11:14:00,,2.617385352498289,,False,,1
57,Alison Ford,mcgeebrandon@example.org,69,Male,Bitbucket,22-12-2021,Technical issue,Software bug,Pending Customer Response,,Medium,Social media,01-06-2023 10:33,,,CUST04900,Media & Communications,Other,1000+,Standard,2020-07-31,5,54,109,545,12.4,2.4,22,20,-0.6,-0.30000000000000115,2.0185185185185186,5.0,-0.09090909090909091,2023-06-01 10:33:00,,2.833675564681725,,False,,0
58,Lori Young,pthomas@example.org,47,Other,Bitbucket,28-07-2020,Refund request,Integration,Open,,Critical,Email,,,,CUST05991,Technology,Australia & New Zealand,201-500,Premium,2020-01-12,5,33,65,317,9.8,4.2,12,13,0.09999999999999945,0.19999999999999987,1.9696969696969697,4.876923076923077,0.08333333333333333,,,,,False,,1
59,Kimberly Mack,lwilliamson@example.net,27,Male,Bitbucket,31-07-2020,Technical issue,Product recommendation,Closed,During base sure measure teach time large.,Medium,Phone,01-06-2023 11:56,01-06-2023 04:45,5.0,CUST04631,Technology,Asia-Pacific,501-1000,Standard,2020-01-11,5,50,97,576,14.2,2.0,20,17,-0.20000000000000095,-0.20000000000000137,1.94,5.938144329896907,-0.15,2023-06-01 11:56:00,2023-06-01 04:45:00,3.3867214236824092,-7.183333333333334,False,,0
60,Samuel Schroeder,andrew28@example.org,40,Other,Jira,05-09-2021,Product inquiry,Cancellation request,Closed,Reveal long fish care value direction TV.,Medium,Chat,01-06-2023 19:50,01-06-2023 00:38,3.0,CUST00312,Manufacturing,North America,501-1000,Enterprise,2021-01-06,5,39,72,371,9.0,6.2,13,15,0.39999999999999913,-0.1000000000000007,1.8461538461538463,5.152777777777778,0.15384615384615385,2023-06-01 19:50:00,2023-06-01 00:38:00,2.3983572895277208,-19.2,False,,0
61,Amanda Burton,hannahstephens@example.com,40,Male,Confluence,16-11-2020,Cancellation request,Product setup,Closed,Else personal leg break book nearly.,Medium,Chat,01-06-2023 00:18,01-06-2023 11:55,1.0,CUST02717,Other,Australia & New Zealand,51-200,Standard,2019-09-12,5,31,61,328,11.0,2.0,14,10,-1.9000000000000012,-1.1000000000000019,1.967741935483871,5.377049180327869,-0.2857142857142857,2023-06-01 00:18:00,2023-06-01 11:55:00,3.7180013689253935,11.616666666666667,True,11.616666666666667,1
62,Sarah Williams,akelly@example.net,41,Other,Jira,21-11-2021,Product inquiry,Loading issue,Pending Customer Response,,Critical,Social media,01-06-2023 01:32,,,CUST00104,Professional Services,Asia-Pacific,51-200,Free,2021-09-30,5,26,53,288,9.4,1.2,13,6,-0.600000000000001,-0.30000000000000004,2.0384615384615383,5.433962264150943,-0.5384615384615384,2023-06-01 01:32:00,,1.6673511293634498,,False,,0
63,Frank Sherman,floresbryan@example.net,64,Female,Jira,12-12-2020,Billing inquiry,Payment issue,Closed,Eye while if exist name receive.,High,Email,31-05-2023 23:37,01-06-2023 12:41,4.0,CUST02331,Media & Communications,Asia-Pacific,51-200,Free,2019-11-09,5,20,34,172,9.6,0.6,8,9,0.499999999999999,0.2999999999999997,1.7,5.0588235294117645,0.125,2023-05-31 23:37:00,2023-06-01 12:41:00,3.5564681724845997,13.066666666666666,True,13.066666666666666,0
